symbol,urlhistory,urlsymbol
SBS, http://s.cafef.vn/Lich-su-giao-dich-SBS-1.chn, http://s.cafef.vn/upcom/SBS-cong-ty-co-phan-chung-khoan-ngan-hang-sai-gon-thuong-tin.chn
VTM, http://s.cafef.vn/Lich-su-giao-dich-VTM-1.chn, http://s.cafef.vn/upcom/VTM-ctcp-van-tai-va-dua-don-tho-mo-vinacomin.chn
EAD, http://s.cafef.vn/Lich-su-giao-dich-EAD-1.chn, http://s.cafef.vn/upcom/EAD-ctcp-thuy-dien-dien-luc-dak-lak.chn
VCW, http://s.cafef.vn/Lich-su-giao-dich-VCW-1.chn, http://s.cafef.vn/upcom/VCW-cong-ty-co-phan-dau-tu-nuoc-sach-song-da.chn
PTV, http://s.cafef.vn/Lich-su-giao-dich-PTV-1.chn, http://s.cafef.vn/upcom/PTV-cong-ty-co-phan-thuong-mai-dau-khi.chn
NVL, http://s.cafef.vn/Lich-su-giao-dich-NVL-1.chn, http://s.cafef.vn/hose/NVL-cong-ty-co-phan-tap-doan-dau-tu-dia-oc-no-va.chn
VSN, http://s.cafef.vn/Lich-su-giao-dich-VSN-1.chn, http://s.cafef.vn/upcom/VSN-ctcp-viet-nam-ky-nghe-suc-san.chn
MWG, http://s.cafef.vn/Lich-su-giao-dich-MWG-1.chn, http://s.cafef.vn/hose/MWG-cong-ty-co-phan-dau-tu-the-gioi-di-dong.chn
NAF, http://s.cafef.vn/Lich-su-giao-dich-NAF-1.chn, http://s.cafef.vn/hose/NAF-cong-ty-co-phan-nafoods-group.chn
MIG, http://s.cafef.vn/Lich-su-giao-dich-MIG-1.chn, http://s.cafef.vn/hose/MIG-tong-cong-ty-co-phan-bao-hiem-quan-doi.chn
HTE, http://s.cafef.vn/Lich-su-giao-dich-HTE-1.chn, http://s.cafef.vn/upcom/HTE-cong-ty-co-phan-dau-tu-kinh-doanh-dien-luc-thanh-pho-ho-chi-minh.chn
PDN, http://s.cafef.vn/Lich-su-giao-dich-PDN-1.chn, http://s.cafef.vn/hose/PDN-cong-ty-co-phan-cang-dong-nai.chn
SGT, http://s.cafef.vn/Lich-su-giao-dich-SGT-1.chn, http://s.cafef.vn/hose/SGT-cong-ty-co-phan-cong-nghe-vien-thong-sai-gon.chn
HDG, http://s.cafef.vn/Lich-su-giao-dich-HDG-1.chn, http://s.cafef.vn/hose/HDG-cong-ty-co-phan-tap-doan-ha-do.chn
BT1, http://s.cafef.vn/Lich-su-giao-dich-BT1-1.chn, http://s.cafef.vn/upcom/BT1-cong-ty-co-phan-bao-ve-thuc-vat-1-trung-uong.chn
SC5, http://s.cafef.vn/Lich-su-giao-dich-SC5-1.chn, http://s.cafef.vn/hose/SC5-cong-ty-co-phan-xay-dung-so-5.chn
VIP, http://s.cafef.vn/Lich-su-giao-dich-VIP-1.chn, http://s.cafef.vn/hose/VIP-cong-ty-co-phan-van-tai-xang-dau-vipco.chn
CSC, http://s.cafef.vn/Lich-su-giao-dich-CSC-1.chn, http://s.cafef.vn/hastc/CSC-cong-ty-co-phan-tap-doan-cotana.chn
ABR, http://s.cafef.vn/Lich-su-giao-dich-ABR-1.chn, http://s.cafef.vn/hose/ABR-cong-ty-co-phan-dau-tu-nhan-hieu-viet.chn
L43, http://s.cafef.vn/Lich-su-giao-dich-L43-1.chn, http://s.cafef.vn/hastc/L43-cong-ty-co-phan-lilama-453.chn
HEC, http://s.cafef.vn/Lich-su-giao-dich-HEC-1.chn, http://s.cafef.vn/upcom/HEC-cong-ty-co-phan-tu-van-xay-dung-thuy-loi-ii.chn
ILB, http://s.cafef.vn/Lich-su-giao-dich-ILB-1.chn, http://s.cafef.vn/hose/ILB-cong-ty-co-phan-icd-tan-cang-long-binh.chn
NKG, http://s.cafef.vn/Lich-su-giao-dich-NKG-1.chn, http://s.cafef.vn/hose/NKG-cong-ty-co-phan-thep-nam-kim.chn
FRM, http://s.cafef.vn/Lich-su-giao-dich-FRM-1.chn, http://s.cafef.vn/upcom/FRM-cong-ty-co-phan-lam-nghiep-sai-gon.chn
CCL, http://s.cafef.vn/Lich-su-giao-dich-CCL-1.chn, http://s.cafef.vn/hose/CCL-cong-ty-co-phan-dau-tu-va-phat-trien-do-thi-dau-khi-cuu-long.chn
PPH, http://s.cafef.vn/Lich-su-giao-dich-PPH-1.chn, http://s.cafef.vn/upcom/PPH-tong-cong-ty-co-phan-phong-phu.chn
VGR, http://s.cafef.vn/Lich-su-giao-dich-VGR-1.chn, http://s.cafef.vn/upcom/VGR-cong-ty-co-phan-cang-xanh-vip.chn
THT, http://s.cafef.vn/Lich-su-giao-dich-THT-1.chn, http://s.cafef.vn/hastc/THT-cong-ty-co-phan-than-ha-tu-vinacomin.chn
BIO, http://s.cafef.vn/Lich-su-giao-dich-BIO-1.chn, http://s.cafef.vn/upcom/BIO-cong-ty-co-phan-vac-xin-va-sinh-pham-nha-trang.chn
TDC, http://s.cafef.vn/Lich-su-giao-dich-TDC-1.chn, http://s.cafef.vn/hose/TDC-cong-ty-co-phan-kinh-doanh-va-phat-trien-binh-duong.chn
C47, http://s.cafef.vn/Lich-su-giao-dich-C47-1.chn, http://s.cafef.vn/hose/C47-cong-ty-co-phan-xay-dung-47.chn
SDC, http://s.cafef.vn/Lich-su-giao-dich-SDC-1.chn, http://s.cafef.vn/hastc/SDC-cong-ty-co-phan-tu-van-song-da.chn
TVH, http://s.cafef.vn/Lich-su-giao-dich-TVH-1.chn, http://s.cafef.vn/upcom/TVH-cong-ty-co-phan-tu-van-va-xay-dung-cong-trinh-hang-hai.chn
TNW, http://s.cafef.vn/Lich-su-giao-dich-TNW-1.chn, http://s.cafef.vn/upcom/TNW-cong-ty-co-phan-nuoc-sach-thai-nguyen.chn
VBH, http://s.cafef.vn/Lich-su-giao-dich-VBH-1.chn, http://s.cafef.vn/upcom/VBH-cong-ty-co-phan-dien-tu-binh-hoa.chn
LAF, http://s.cafef.vn/Lich-su-giao-dich-LAF-1.chn, http://s.cafef.vn/hose/LAF-cong-ty-co-phan-che-bien-hang-xuat-khau-long-an.chn
HNP, http://s.cafef.vn/Lich-su-giao-dich-HNP-1.chn, http://s.cafef.vn/upcom/HNP-cong-ty-co-phan-hanel-xop-nhua.chn
HCM, http://s.cafef.vn/Lich-su-giao-dich-HCM-1.chn, http://s.cafef.vn/hose/HCM-cong-ty-co-phan-chung-khoan-thanh-pho-ho-chi-minh.chn
VMA, http://s.cafef.vn/Lich-su-giao-dich-VMA-1.chn, http://s.cafef.vn/upcom/VMA-cong-ty-co-phan-cong-nghiep-o-to-vinacomin.chn
TPC, http://s.cafef.vn/Lich-su-giao-dich-TPC-1.chn, http://s.cafef.vn/hose/TPC-cong-ty-co-phan-nhua-tan-dai-hung.chn
SGR, http://s.cafef.vn/Lich-su-giao-dich-SGR-1.chn, http://s.cafef.vn/hose/SGR-cong-ty-co-phan-tong-cong-ty-co-phan-dia-oc-sai-gon.chn
MDG, http://s.cafef.vn/Lich-su-giao-dich-MDG-1.chn, http://s.cafef.vn/hose/MDG-cong-ty-co-phan-mien-dong.chn
HCC, http://s.cafef.vn/Lich-su-giao-dich-HCC-1.chn, http://s.cafef.vn/hastc/HCC-cong-ty-co-phan-be-tong-hoa-cam-intimex.chn
DTK, http://s.cafef.vn/Lich-su-giao-dich-DTK-1.chn, http://s.cafef.vn/hastc/DTK-tong-cong-ty-dien-luc-tkv-ctcp.chn
SDN, http://s.cafef.vn/Lich-su-giao-dich-SDN-1.chn, http://s.cafef.vn/hastc/SDN-cong-ty-co-phan-son-dong-nai.chn
BAF, http://s.cafef.vn/Lich-su-giao-dich-BAF-1.chn, http://s.cafef.vn/hose/BAF-cong-ty-co-phan-nong-nghiep-baf-viet-nam.chn
TV3, http://s.cafef.vn/Lich-su-giao-dich-TV3-1.chn, http://s.cafef.vn/hastc/TV3-cong-ty-co-phan-tu-van-xay-dung-dien-3.chn
POV, http://s.cafef.vn/Lich-su-giao-dich-POV-1.chn, http://s.cafef.vn/upcom/POV-cong-ty-co-phan-xang-dau-dau-khi-vung-ang.chn
CHP, http://s.cafef.vn/Lich-su-giao-dich-CHP-1.chn, http://s.cafef.vn/hose/CHP-cong-ty-co-phan-thuy-dien-mien-trung.chn
