symbol,urlhistory,urlsymbol
SZL, http://s.cafef.vn/Lich-su-giao-dich-SZL-1.chn, http://s.cafef.vn/hose/SZL-cong-ty-co-phan-sonadezi-long-thanh.chn
VC9, http://s.cafef.vn/Lich-su-giao-dich-VC9-1.chn, http://s.cafef.vn/hastc/VC9-cong-ty-co-phan-xay-dung-so-9.chn
TCD, http://s.cafef.vn/Lich-su-giao-dich-TCD-1.chn, http://s.cafef.vn/hose/TCD-cong-ty-co-phan-dau-tu-phat-trien-cong-nghiep-va-van-tai.chn
NDN, http://s.cafef.vn/Lich-su-giao-dich-NDN-1.chn, http://s.cafef.vn/hastc/NDN-cong-ty-co-phan-dau-tu-phat-trien-nha-da-nang.chn
APF, http://s.cafef.vn/Lich-su-giao-dich-APF-1.chn, http://s.cafef.vn/upcom/APF-cong-ty-co-phan-nong-san-thuc-pham-quang-ngai.chn
DXS, http://s.cafef.vn/Lich-su-giao-dich-DXS-1.chn, http://s.cafef.vn/hose/DXS-cong-ty-co-phan-dich-vu-bat-dong-san-dat-xanh.chn
MCG, http://s.cafef.vn/Lich-su-giao-dich-MCG-1.chn, http://s.cafef.vn/hose/MCG-cong-ty-co-phan-nang-luong-va-bat-dong-san-mcg.chn
SNC, http://s.cafef.vn/Lich-su-giao-dich-SNC-1.chn, http://s.cafef.vn/upcom/SNC-cong-ty-co-phan-xuat-nhap-khau-thuy-san-nam-can.chn
HNA, http://s.cafef.vn/Lich-su-giao-dich-HNA-1.chn, http://s.cafef.vn/upcom/HNA-cong-ty-co-phan-thuy-dien-hua-na.chn
VND, http://s.cafef.vn/Lich-su-giao-dich-VND-1.chn, http://s.cafef.vn/hose/VND-cong-ty-co-phan-chung-khoan-vndirect.chn
PSD, http://s.cafef.vn/Lich-su-giao-dich-PSD-1.chn, http://s.cafef.vn/hastc/PSD-cong-ty-co-phan-dich-vu-phan-phoi-tong-hop-dau-khi.chn
VC7, http://s.cafef.vn/Lich-su-giao-dich-VC7-1.chn, http://s.cafef.vn/hastc/VC7-cong-ty-co-phan-tap-doan-bgi.chn
BBT, http://s.cafef.vn/Lich-su-giao-dich-BBT-1.chn, http://s.cafef.vn/upcom/BBT-cong-ty-co-phan-bong-bach-tuyet.chn
VNX, http://s.cafef.vn/Lich-su-giao-dich-VNX-1.chn, http://s.cafef.vn/upcom/VNX-cong-ty-co-phan-quang-cao-va-hoi-cho-thuong-mai.chn
IDP, http://s.cafef.vn/Lich-su-giao-dich-IDP-1.chn, http://s.cafef.vn/upcom/IDP-cong-ty-co-phan-sua-quoc-te.chn
NRC, http://s.cafef.vn/Lich-su-giao-dich-NRC-1.chn, http://s.cafef.vn/hastc/NRC-cong-ty-co-phan-tap-doan-danh-khoi.chn
NAC, http://s.cafef.vn/Lich-su-giao-dich-NAC-1.chn, http://s.cafef.vn/upcom/NAC-cong-ty-co-phan-tu-van-xay-dung-tong-hop.chn
BPW, http://s.cafef.vn/Lich-su-giao-dich-BPW-1.chn, http://s.cafef.vn/upcom/BPW-cong-ty-co-phan-cap-thoat-nuoc-binh-phuoc.chn
SED, http://s.cafef.vn/Lich-su-giao-dich-SED-1.chn, http://s.cafef.vn/hastc/SED-cong-ty-co-phan-dau-tu-va-phat-trien-giao-duc-phuong-nam.chn
HTR, http://s.cafef.vn/Lich-su-giao-dich-HTR-1.chn, http://s.cafef.vn/upcom/HTR-cong-ty-co-phan-duong-sat-ha-thai.chn
AGG, http://s.cafef.vn/Lich-su-giao-dich-AGG-1.chn, http://s.cafef.vn/hose/AGG-cong-ty-co-phan-dau-tu-va-phat-trien-bat-dong-san-an-gia.chn
VTV, http://s.cafef.vn/Lich-su-giao-dich-VTV-1.chn, http://s.cafef.vn/hastc/VTV-cong-ty-co-phan-nang-luong-va-moi-truong-vicem.chn
FHN, http://s.cafef.vn/Lich-su-giao-dich-FHN-1.chn, http://s.cafef.vn/upcom/FHN-cong-ty-co-phan-xuat-nhap-khau-luong-thuc-thuc-pham-ha-noi.chn
DSG, http://s.cafef.vn/Lich-su-giao-dich-DSG-1.chn, http://s.cafef.vn/upcom/DSG-cong-ty-co-phan-kinh-viglacera-dap-cau.chn
XMD, http://s.cafef.vn/Lich-su-giao-dich-XMD-1.chn, http://s.cafef.vn/upcom/XMD-cong-ty-co-phan-xuan-mai-dao-tu.chn
TPP, http://s.cafef.vn/Lich-su-giao-dich-TPP-1.chn, http://s.cafef.vn/hastc/TPP-cong-ty-co-phan-tan-phu-viet-nam.chn
HUT, http://s.cafef.vn/Lich-su-giao-dich-HUT-1.chn, http://s.cafef.vn/hastc/HUT-cong-ty-co-phan-tasco.chn
APG, http://s.cafef.vn/Lich-su-giao-dich-APG-1.chn, http://s.cafef.vn/hose/APG-cong-ty-co-phan-chung-khoan-apg.chn
PIA, http://s.cafef.vn/Lich-su-giao-dich-PIA-1.chn, http://s.cafef.vn/hastc/PIA-cong-ty-co-phan-tin-hoc-vien-thong-petrolimex.chn
KSD, http://s.cafef.vn/Lich-su-giao-dich-KSD-1.chn, http://s.cafef.vn/hastc/KSD-cong-ty-co-phan-dau-tu-dna.chn
SJE, http://s.cafef.vn/Lich-su-giao-dich-SJE-1.chn, http://s.cafef.vn/hastc/SJE-cong-ty-co-phan-song-da-11.chn
HPX, http://s.cafef.vn/Lich-su-giao-dich-HPX-1.chn, http://s.cafef.vn/hose/HPX-cong-ty-co-phan-dau-tu-hai-phat.chn
DAT, http://s.cafef.vn/Lich-su-giao-dich-DAT-1.chn, http://s.cafef.vn/hose/DAT-cong-ty-co-phan-dau-tu-du-lich-va-phat-trien-thuy-san.chn
VCF, http://s.cafef.vn/Lich-su-giao-dich-VCF-1.chn, http://s.cafef.vn/hose/VCF-cong-ty-co-phan-vinacafe-bien-hoa.chn
SSH, http://s.cafef.vn/Lich-su-giao-dich-SSH-1.chn, http://s.cafef.vn/upcom/SSH-cong-ty-co-phan-phat-trien-sunshine-homes.chn
CAV, http://s.cafef.vn/Lich-su-giao-dich-CAV-1.chn, http://s.cafef.vn/hose/CAV-cong-ty-co-phan-day-cap-dien-viet-nam.chn
PJS, http://s.cafef.vn/Lich-su-giao-dich-PJS-1.chn, http://s.cafef.vn/upcom/PJS-cong-ty-co-phan-cap-nuoc-phu-hoa-tan.chn
IDI, http://s.cafef.vn/Lich-su-giao-dich-IDI-1.chn, http://s.cafef.vn/hose/IDI-cong-ty-co-phan-dau-tu-va-phat-trien-da-quoc-gia-idi.chn
BHT, http://s.cafef.vn/Lich-su-giao-dich-BHT-1.chn, http://s.cafef.vn/upcom/BHT-cong-ty-co-phan-dau-tu-xay-dung-bach-dang-tmc.chn
DXG, http://s.cafef.vn/Lich-su-giao-dich-DXG-1.chn, http://s.cafef.vn/hose/DXG-cong-ty-co-phan-tap-doan-dat-xanh.chn
VC6, http://s.cafef.vn/Lich-su-giao-dich-VC6-1.chn, http://s.cafef.vn/hastc/VC6-cong-ty-co-phan-xay-dung-va-dau-tu-visicons.chn
VPG, http://s.cafef.vn/Lich-su-giao-dich-VPG-1.chn, http://s.cafef.vn/hose/VPG-cong-ty-co-phan-dau-tu-thuong-mai-xuat-nhap-khau-viet-phat.chn
DNL, http://s.cafef.vn/Lich-su-giao-dich-DNL-1.chn, http://s.cafef.vn/upcom/DNL-cong-ty-co-phan-logistic-cang-da-nang.chn
DND, http://s.cafef.vn/Lich-su-giao-dich-DND-1.chn, http://s.cafef.vn/upcom/DND-ctcp-dau-tu-xay-dung-va-vat-lieu-dong-nai.chn
BST, http://s.cafef.vn/Lich-su-giao-dich-BST-1.chn, http://s.cafef.vn/hastc/BST-cong-ty-co-phan-sach-thiet-bi-binh-thuan.chn
BSL, http://s.cafef.vn/Lich-su-giao-dich-BSL-1.chn, http://s.cafef.vn/upcom/BSL-cong-ty-co-phan-bia-sai-gon-song-lam.chn
PEN, http://s.cafef.vn/Lich-su-giao-dich-PEN-1.chn, http://s.cafef.vn/hastc/PEN-cong-ty-co-phan-xay-lap-iii-petrolimex.chn
GAS, http://s.cafef.vn/Lich-su-giao-dich-GAS-1.chn, http://s.cafef.vn/hose/GAS-tong-cong-ty-khi-viet-namctcp.chn
LDG, http://s.cafef.vn/Lich-su-giao-dich-LDG-1.chn, http://s.cafef.vn/hose/LDG-cong-ty-co-phan-dau-tu-ldg.chn
GAB, http://s.cafef.vn/Lich-su-giao-dich-GAB-1.chn, http://s.cafef.vn/hose/GAB-cong-ty-co-phan-dau-tu-khai-khoang-va-quan-ly-tai-san-flc.chn
HAX, http://s.cafef.vn/Lich-su-giao-dich-HAX-1.chn, http://s.cafef.vn/hose/HAX-cong-ty-co-phan-dich-vu-o-to-hang-xanh.chn
RBC, http://s.cafef.vn/Lich-su-giao-dich-RBC-1.chn, http://s.cafef.vn/upcom/RBC-ctcp-cong-nghiep-va-xuat-nhap-khau-cao-su.chn
GEE, http://s.cafef.vn/Lich-su-giao-dich-GEE-1.chn, http://s.cafef.vn/upcom/GEE-ctcp-thiet-bi-dien-gelex.chn
TLD, http://s.cafef.vn/Lich-su-giao-dich-TLD-1.chn, http://s.cafef.vn/hose/TLD-cong-ty-co-phan-dau-tu-xay-dung-va-phat-trien-do-thi-thang-long.chn
CDR, http://s.cafef.vn/Lich-su-giao-dich-CDR-1.chn, http://s.cafef.vn/upcom/CDR-cong-ty-co-phan-xay-dung-cao-su-dong-nai.chn
BSD, http://s.cafef.vn/Lich-su-giao-dich-BSD-1.chn, http://s.cafef.vn/upcom/BSD-cong-ty-co-phan-bia-ruou-sai-gon-dong-xuan.chn
VE4, http://s.cafef.vn/Lich-su-giao-dich-VE4-1.chn, http://s.cafef.vn/hastc/VE4-cong-ty-co-phan-xay-dung-dien-vneco4.chn
BAX, http://s.cafef.vn/Lich-su-giao-dich-BAX-1.chn, http://s.cafef.vn/hastc/BAX-cong-ty-co-phan-thong-nhat.chn
GMH, http://s.cafef.vn/Lich-su-giao-dich-GMH-1.chn, http://s.cafef.vn/hose/GMH-cong-ty-co-phan-minh-hung-quang-tri.chn
PMS, http://s.cafef.vn/Lich-su-giao-dich-PMS-1.chn, http://s.cafef.vn/hastc/PMS-cong-ty-co-phan-co-khi-xang-dau.chn
PTB, http://s.cafef.vn/Lich-su-giao-dich-PTB-1.chn, http://s.cafef.vn/hose/PTB-cong-ty-co-phan-phu-tai.chn
FRT, http://s.cafef.vn/Lich-su-giao-dich-FRT-1.chn, http://s.cafef.vn/hose/FRT-cong-ty-co-phan-ban-le-ky-thuat-so-fpt.chn
PCF, http://s.cafef.vn/Lich-su-giao-dich-PCF-1.chn, http://s.cafef.vn/upcom/PCF-cong-ty-co-phan-ca-phe-petec.chn
HTK, http://s.cafef.vn/Lich-su-giao-dich-HTK-1.chn, http://s.cafef.vn/upcom/HTK-trung-tam-dang-kiem-xe-co-gioi-hai-duong.chn
ACG, http://s.cafef.vn/Lich-su-giao-dich-ACG-1.chn, http://s.cafef.vn/upcom/ACG-cong-ty-co-phan-go-an-cuong.chn
HHS, http://s.cafef.vn/Lich-su-giao-dich-HHS-1.chn, http://s.cafef.vn/hose/HHS-cong-ty-co-phan-dau-tu-dich-vu-hoang-huy.chn
HEV, http://s.cafef.vn/Lich-su-giao-dich-HEV-1.chn, http://s.cafef.vn/hastc/HEV-cong-ty-co-phan-sach-dai-hoc-day-nghe.chn
THI, http://s.cafef.vn/Lich-su-giao-dich-THI-1.chn, http://s.cafef.vn/hose/THI-cong-ty-co-phan-thiet-bi-dien.chn
HDA, http://s.cafef.vn/Lich-su-giao-dich-HDA-1.chn, http://s.cafef.vn/hastc/HDA-cong-ty-co-phan-hang-son-dong-a.chn
DHT, http://s.cafef.vn/Lich-su-giao-dich-DHT-1.chn, http://s.cafef.vn/hastc/DHT-cong-ty-co-phan-duoc-pham-ha-tay.chn
HGM, http://s.cafef.vn/Lich-su-giao-dich-HGM-1.chn, http://s.cafef.vn/hastc/HGM-cong-ty-co-phan-co-khi-va-khoang-san-ha-giang.chn
TQW, http://s.cafef.vn/Lich-su-giao-dich-TQW-1.chn, http://s.cafef.vn/upcom/TQW-ctcp-cap-thoat-nuoc-tuyen-quang.chn
SDV, http://s.cafef.vn/Lich-su-giao-dich-SDV-1.chn, http://s.cafef.vn/upcom/SDV-cong-ty-co-phan-dich-vu-sonadezi.chn
HPB, http://s.cafef.vn/Lich-su-giao-dich-HPB-1.chn, http://s.cafef.vn/upcom/HPB-cong-ty-co-phan-bao-bi-pp.chn
D11, http://s.cafef.vn/Lich-su-giao-dich-D11-1.chn, http://s.cafef.vn/hastc/D11-cong-ty-co-phan-dia-oc-11.chn
TNS, http://s.cafef.vn/Lich-su-giao-dich-TNS-1.chn, http://s.cafef.vn/upcom/TNS-cong-ty-co-phan-thep-tam-la-thong-nhat.chn
HBD, http://s.cafef.vn/Lich-su-giao-dich-HBD-1.chn, http://s.cafef.vn/upcom/HBD-cong-ty-co-phan-bao-bi-pp-binh-duong.chn
DAN, http://s.cafef.vn/Lich-su-giao-dich-DAN-1.chn, http://s.cafef.vn/upcom/DAN-ctcp-duoc-danapha.chn
DDN, http://s.cafef.vn/Lich-su-giao-dich-DDN-1.chn, http://s.cafef.vn/upcom/DDN-cong-ty-co-phan-duoc-thiet-bi-y-te-da-nang.chn
DCF, http://s.cafef.vn/Lich-su-giao-dich-DCF-1.chn, http://s.cafef.vn/upcom/DCF-cong-ty-co-phan-xay-dung-va-thiet-ke-so-1.chn
PPY, http://s.cafef.vn/Lich-su-giao-dich-PPY-1.chn, http://s.cafef.vn/hastc/PPY-cong-ty-co-phan-xang-dau-dau-khi-phu-yen.chn
PNJ, http://s.cafef.vn/Lich-su-giao-dich-PNJ-1.chn, http://s.cafef.vn/hose/PNJ-cong-ty-co-phan-vang-bac-da-quy-phu-nhuan.chn
